-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	245
-95	-90	442
-90	-85	606
-85	-80	782
-80	-75	958
-75	-70	1115
-70	-65	1226
-65	-60	1495
-60	-55	1619
-55	-50	1634
-50	-45	1734
-45	-40	1772
-40	-35	1757
-35	-30	1697
-30	-25	1826
-25	-20	1809
-20	-15	1819
-15	-10	1752
-10	-5	1737
-5	0	1658
0	5	1470
5	10	1522
10	15	1544
15	20	1481
20	25	1328
25	30	1383
30	35	1295
35	40	1199
40	45	1244
45	50	1105
50	55	1111
55	60	1027
60	65	958
65	70	1018
70	75	938
75	80	925
80	85	947
85	90	771
90	95	806
95	100	719
100	105	719
105	110	730
110	115	673
115	120	625
120	125	554
125	130	609
130	135	526
135	140	564
140	145	499
145	150	483
150	155	453
155	160	526
160	165	461
165	170	451
170	175	411
175	180	396
180	185	395
185	190	364
190	195	319
195	200	331
200	205	303
205	210	309
210	215	279
215	220	287
220	225	283
225	230	254
230	235	277
235	240	263
240	245	211
245	250	212
