## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT CONTROL_REP4.sorted.bam --OUTPUT CONTROL_REP4.markdup.sorted.bam --METRICS_FILE CONTROL_REP4.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 12 15:48:59 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	132116	1214	0	0	64474	623	0.488011	86628

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
80.0	1.280684	1	0	1
81.0	1.280684	1	0	1
82.0	1.280684	0	0	0
83.0	1.280684	0	0	0
84.0	1.280684	1	0	1
85.0	1.280684	0	0	0
86.0	1.280684	0	0	0
87.0	1.280684	0	0	0
88.0	1.280684	0	0	0
89.0	1.280684	0	0	0
90.0	1.280684	1	0	1
91.0	1.280684	0	0	0
92.0	1.280684	1	0	1
93.0	1.280684	1	0	1
94.0	1.280684	0	0	0
95.0	1.280684	0	0	0
96.0	1.280684	1	0	1
97.0	1.280684	0	0	0
98.0	1.280684	0	0	0
99.0	1.280684	0	0	1
100.0	1.280684	1	0	0
103.0	0	1	0	1
133.0	0	0	0	1
134.0	0	1	0	1
135.0	0	1	0	0
137.0	0	0	0	1
138.0	0	1	0	0
155.0	0	1	0	1
156.0	0	0	0	1
157.0	0	1	0	0
182.0	0	0	0	1
183.0	0	1	0	0

