## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT CONTROL_REP4.sorted.bam --OUTPUT CONTROL_REP4.markdup.sorted.bam --METRICS_FILE CONTROL_REP4.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 12 15:48:59 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	132116	1214	0	0	64474	623	0.488011	86628

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.002007	46234	0	46556
2.0	1.220043	10761	596	10543
3.0	1.267488	4133	12	4085
4.0	1.277812	2091	1	2069
5.0	1.280059	1181	0	1164
6.0	1.280548	769	0	765
7.0	1.280654	518	0	517
8.0	1.280677	381	0	373
9.0	1.280682	297	0	305
10.0	1.280683	226	0	219
11.0	1.280684	154	0	156
12.0	1.280684	118	0	114
13.0	1.280684	103	0	102
14.0	1.280684	72	0	75
15.0	1.280684	88	0	84
16.0	1.280684	55	0	54
17.0	1.280684	44	0	45
18.0	1.280684	34	0	35
19.0	1.280684	48	0	46
20.0	1.280684	29	0	32
21.0	1.280684	30	0	28
22.0	1.280684	28	0	28
23.0	1.280684	27	0	26
24.0	1.280684	16	0	17
25.0	1.280684	21	0	21
26.0	1.280684	11	0	10
27.0	1.280684	20	0	21
28.0	1.280684	11	0	10
29.0	1.280684	10	0	10
30.0	1.280684	6	0	6
31.0	1.280684	14	0	15
32.0	1.280684	3	0	3
33.0	1.280684	5	0	5
34.0	1.280684	11	0	10
35.0	1.280684	4	0	4
36.0	1.280684	6	0	6
37.0	1.280684	2	0	2
38.0	1.280684	6	0	7
39.0	1.280684	4	0	4
40.0	1.280684	3	0	2
41.0	1.280684	3	0	3
42.0	1.280684	1	0	1
43.0	1.280684	2	0	2
44.0	1.280684	5	0	5
45.0	1.280684	6	0	6
46.0	1.280684	0	0	0
47.0	1.280684	0	0	0
48.0	1.280684	1	0	1
49.0	1.280684	4	0	5
50.0	1.280684	3	0	2
51.0	1.280684	2	0	3
52.0	1.280684	2	0	1
53.0	1.280684	1	0	1
54.0	1.280684	0	0	0
55.0	1.280684	4	0	4
56.0	1.280684	2	0	2
57.0	1.280684	1	0	2
58.0	1.280684	2	0	1
59.0	1.280684	0	0	0
60.0	1.280684	1	0	1
61.0	1.280684	1	0	1
62.0	1.280684	2	0	2
63.0	1.280684	0	0	0
64.0	1.280684	0	0	0
65.0	1.280684	2	0	2
66.0	1.280684	1	0	1
67.0	1.280684	0	0	0
68.0	1.280684	2	0	2
69.0	1.280684	0	0	0
70.0	1.280684	0	0	0
71.0	1.280684	1	0	1
72.0	1.280684	0	0	0
73.0	1.280684	0	0	0
74.0	1.280684	0	0	0
75.0	1.280684	0	0	0
76.0	1.280684	0	0	0
77.0	1.280684	1	0	2
78.0	1.280684	3	0	2
79.0	1.280684	0	0	0
