Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CONTROL_REP1_1	1.0698371526183255	29.517412608939203
CONTROL_REP1_2	0.9118847805572237	37.28887117041194
CONTROL_REP2_1	1.5879400035666993	45.75467939548243
CONTROL_REP2_2	2.297485477083958	48.70327718944105
CONTROL_REP3_1	1.0701107011070112	29.01159725882975
CONTROL_REP3_2	0.9378843788437884	36.952644526445276
CONTROL_REP4_1	1.618531402529461	48.63576301809456
CONTROL_REP4_2	2.255480948143354	51.11560553353296
