Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
CONTROL_REP1_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	4.5	7.0	14.0	32.0	58.5	164.5	257.5	248.5	206.5	206.5	223.0	195.0	191.5	197.0	222.5	349.0	449.5	752.5	768.0	406.5	340.5	434.5	514.5	652.5	950.0	764.5	733.5	1217.0	3099.0	5767.5	6832.0	6716.5	4826.5	3229.5	2773.0	2060.5	1639.5	1159.5	1121.5	1856.0	4026.0	5428.0	8101.0	11028.0	12473.0	13847.0	14078.0	12006.0	9783.0	11143.0	12704.5	12035.5	9744.5	6314.0	2902.5	1148.0	517.5	296.0	157.5	85.0	70.5	64.0	57.0	46.0	24.0	9.0	4.0	1.5	0.5	0.5	0.5	1.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	3.5	11.5	25.0	35.0	102.5	177.0	196.0	292.0	476.5	486.0	328.5	265.0	231.5	218.0	261.5	439.0	574.5	412.5	306.5	394.0	383.5	497.5	1199.0	1198.0	561.5	608.5	1122.5	1289.0	1310.5	1724.5	2270.0	2169.5	1866.0	1899.0	1937.0	1698.5	1105.5	954.5	1711.5	5782.5	7180.5	7549.0	10381.0	12417.5	12679.5	14711.0	14675.0	11194.0	13392.0	18550.0	17303.0	11416.5	6654.5	2636.0	1207.5	647.0	344.0	232.0	205.0	168.0	149.5	125.5	87.0	59.5	44.0	25.5	10.5	5.5	6.0	5.5	5.0	6.5	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP2_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.5	16.5	62.0	131.5	285.0	523.5	987.0	1243.5	948.5	801.0	777.0	591.5	583.5	906.5	1273.5	1474.5	1410.0	1703.0	1573.0	1081.0	1163.0	1229.5	1559.5	3268.0	3889.0	2579.5	2520.0	4791.0	5343.5	4505.5	7492.5	10485.0	8129.0	4345.5	3679.5	5423.5	6096.0	5102.5	4982.0	4100.0	4998.0	6568.5	8660.0	12181.0	15123.0	16003.5	14392.5	12024.5	10352.0	11899.0	13247.5	12096.0	10138.0	7228.0	3954.5	1920.0	819.5	298.5	137.5	109.0	95.0	69.5	42.5	20.5	8.0	4.5	4.0	3.0	1.5	1.5	2.5	2.5	2.0	2.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP2_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	19.0	71.5	150.5	234.5	451.0	694.0	840.5	1332.5	1809.0	1434.0	1166.0	1652.0	2193.0	1789.0	1448.5	1872.0	2042.0	1592.0	984.0	1029.5	1344.0	2192.0	6706.0	7679.0	3426.0	2469.5	4502.0	4749.5	3548.5	5524.0	9106.5	9033.5	7061.0	6507.0	6008.0	4989.0	3926.0	3600.5	3510.5	5021.5	6540.0	8697.5	11794.5	12649.0	11282.5	11010.5	11068.5	10380.0	10139.0	10844.5	11981.0	10845.0	8142.5	4842.0	2488.5	1373.0	593.5	315.5	304.0	248.5	140.0	68.5	35.5	18.0	11.0	6.0	4.0	1.5	0.0	0.0	1.0	3.5	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP3_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	2.0	6.0	12.0	24.5	74.5	223.5	374.0	415.5	325.0	269.5	321.5	281.5	216.0	191.0	211.5	341.5	457.0	758.5	744.0	394.5	331.0	389.0	542.5	859.0	1071.5	720.0	693.0	1328.5	3020.0	5194.0	6367.0	6512.0	4621.0	2879.5	2463.0	2221.0	1948.5	1289.5	1242.0	2067.5	4702.0	6353.5	9331.5	13032.5	14753.5	16437.5	16688.5	14393.0	11800.0	12893.5	15308.0	15205.5	12117.0	7034.0	2859.0	1144.0	385.5	174.0	93.5	75.0	66.0	52.5	40.0	33.0	16.5	6.0	2.5	0.5	1.0	1.0	1.0	0.5	0.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP3_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	13.5	31.0	57.5	167.0	263.5	303.0	424.5	635.0	635.5	418.0	329.0	307.5	248.5	293.5	540.0	658.5	442.0	337.0	407.0	357.0	602.5	1428.5	1358.0	648.5	699.5	1435.0	1604.0	1491.0	1950.5	2662.5	2559.0	1925.5	1980.5	2254.0	1974.5	1239.0	1052.5	1926.5	6432.5	7946.5	8720.5	12355.0	14691.5	14497.5	16039.5	16153.0	12923.5	15531.5	21375.5	19927.5	12836.0	6969.5	2471.5	1061.5	513.5	261.0	139.0	127.5	119.0	93.5	79.5	60.0	30.0	17.0	13.5	7.0	3.5	4.5	4.0	2.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP4_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.5	8.5	38.0	87.5	173.0	291.5	510.5	658.0	525.5	410.0	382.5	342.0	447.0	679.0	826.0	932.0	886.0	1051.5	1004.0	676.0	733.0	828.0	1182.5	2800.0	3130.0	1773.0	1699.0	3333.0	3732.0	3158.0	4988.0	6384.5	5167.5	3059.0	2317.0	3402.5	3793.0	3141.5	2999.5	2567.5	3459.5	4688.0	6334.5	8724.0	10812.5	11319.0	9630.0	8397.0	7593.0	8321.0	9524.0	8732.5	7112.5	4930.5	2424.0	1047.5	438.5	162.0	71.5	62.5	52.5	32.5	19.0	10.0	5.5	4.0	2.5	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CONTROL_REP4_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.5	55.5	129.5	200.0	310.0	479.0	656.0	810.5	932.0	824.0	790.5	1156.0	1480.5	1170.0	946.5	1199.0	1364.0	1028.0	589.0	654.5	833.5	1414.5	4134.0	4445.5	1914.0	1475.0	3131.0	3414.5	2436.0	3856.0	6263.5	6327.0	4814.0	4265.5	3993.0	3406.5	2789.0	2641.0	2441.0	3375.0	4554.0	6071.0	8236.5	8755.0	7695.5	7324.5	7427.5	7291.0	7282.0	7963.0	8882.0	8006.0	5779.0	3157.0	1463.5	769.0	342.5	190.0	215.5	183.0	95.5	36.5	19.0	10.5	5.0	2.0	0.5	0.0	0.0	0.5	1.5	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
