Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
CONTROL_REP1_1	4.361604957584994	1.5593381139578424	0.8326562744435081	0.6116238815912314	0.35577131726222616	0.32397898678347403	0.18722150170820698	0.18167045987858357	0.14987812939983144	11.004183466978871	21.25443452546162	46.698896351956236	6.669324438209334	5.80941759478404	0.0	0.0
CONTROL_REP1_2	4.276320769475326	1.765231301820237	1.1066758847603715	0.8215541907842614	0.6610786178915125	0.4632596726903881	0.43449518320961233	0.4198606183860598	0.32246506628448585	11.914554327037106	18.33206332224807	41.34214098636967	7.65488668305065	10.485413375992248	0.0	0.0
CONTROL_REP2_1	3.2658063585898636	1.029789526805262	0.5839521303438829	0.400684502692099	0.3244178501910461	0.23904473171971816	0.2417007842943817	0.2489100698541827	0.2492895059362775	10.275887975291122	11.827022678894625	41.969804476586894	15.208177606441305	14.135511802359332	0.0	0.0
CONTROL_REP2_2	3.2976789894858265	1.2703520028533593	0.7205491198980076	0.5721896117989445	0.43635149440900933	0.38474818724411775	0.3320065718329419	0.3672941274677574	0.32100292545219294	9.838018736553735	10.939142246792818	36.52413782636246	13.498059184440084	19.20098349832479	2.297485477083958	0.0
CONTROL_REP3_1	3.9118784044983306	1.152697241258127	0.5429625724828677	0.30926023545949743	0.2613776137761378	0.16868740115972589	0.13530135301353013	0.14057283429977158	0.13837638376383762	7.296608680372518	17.556668423827094	56.580565805658054	7.684062554911264	4.120980495519241	0.0	0.0
CONTROL_REP3_2	3.8679493937796523	1.3574064312071692	0.7248286768581971	0.5517483746266034	0.4173256018274468	0.3979968371112283	0.2952029520295203	0.32683183974696894	0.24907749077490776	9.705675628184855	16.41056053417677	46.08328940432261	9.980671235283783	9.631435600070287	0.0	0.0
CONTROL_REP4_1	3.086050211687296	1.0182563438772485	0.6358708842326672	0.4853976215516544	0.37213817652293507	0.37213817652293507	0.2680473532346358	0.36243022409190195	0.35919423994822425	13.859180756680958	13.097106490844862	42.23606504328129	14.196801769004667	9.651322708518729	0.0	0.0
CONTROL_REP4_2	3.1265000134832674	1.2943936574710784	0.8122320200631018	0.5997357279615996	0.5015775422700428	0.5404093519941753	0.3964080576005178	0.457352425639781	0.3737561685947739	13.293962192918588	12.654855324542243	37.92789148666505	12.716878353962732	15.304047676833049	0.0	0.0
